finger,servo1_deg,servo2_deg,abduction_deg,flexion_deg,distal_deg,tip_x_mm,tip_y_mm,tip_z_mm,tip_travel_mm
2,-90.0,25.0,-10.6567,-39.8948,-39.9838,-25.584,-33.289,178.42,80.56
3,-90.0,25.0,-10.6567,-39.8948,-39.9838,-25.584,-76.013,163.442,80.56
4,-90.0,25.0,-10.6566,-39.8949,-39.9839,101.855,68.649,15.615,80.56
1,-90.0,30.0,-9.2245,-42.3215,-42.4756,-30.694,10.525,185.98,84.675
2,-90.0,30.0,-9.2245,-42.3218,-42.4759,-30.695,-30.956,178.014,84.675
3,-90.0,30.0,-9.2245,-42.3219,-42.476,-30.695,-73.647,163.344,84.675
4,-90.0,30.0,-9.2243,-42.3219,-42.476,102.025,66.286,10.504,84.675
1,-90.0,35.0,-7.8648,-44.7511,-44.9906,-35.737,12.701,184.912,88.781
2,-90.0,35.0,-7.8648,-44.7515,-44.991,-35.738,-28.68,177.18,88.782
3,-90.0,35.0,-7.8649,-44.7515,-44.991,-35.738,-71.281,162.814,88.782
4,-90.0,35.0,-7.8647,-44.7516,-44.991,101.766,63.876,5.461,88.782
1,-90.0,40.0,-6.5877,-47.1619,-47.5111,-40.644,14.738,183.449,92.821
2,-90.0,40.0,-6.5878,-47.1623,-47.5115,-40.645,-26.502,175.938,92.822
3,-90.0,40.0,-6.5878,-47.1624,-47.5116,-40.645,-68.96,161.867,92.822
4,-90.0,40.0,-6.5876,-47.1625,-47.5116,101.087,61.462,0.554,92.822
1,-90.0,45.0,-5.4031,-49.5273,-50.0141,-45.343,16.601,181.634,96.734
2,-90.0,45.0,-5.4031,-49.5277,-50.0146,-45.344,-24.459,174.327,96.735
3,-90.0,45.0,-5.4031,-49.5278,-50.0147,-45.344,-66.724,160.536,96.735
4,-90.0,45.0,-5.403,-49.5278,-50.0148,100.019,59.09,-4.145,96.735
1,-90.0,50.0,-4.3205,-51.8143,-52.4694,-49.758,18.263,179.532,100.457
2,-90.0,50.0,-4.3206,-51.8147,-52.4699,-49.759,-22.586,172.41,100.457
3,-90.0,50.0,-4.3206,-51.8148,-52.47,-49.759,-64.617,158.88,100.458
4,-90.0,50.0,-4.3204,-51.8149,-52.4701,98.612,56.809,-8.56,100.458
1,-90.0,55.0,-3.3497,-53.9833,-54.8374,-53.811,19.705,177.233,103.92
2,-90.0,55.0,-3.3497,-53.9838,-54.8379,-53.812,-20.912,170.274,103.921
3,-90.0,55.0,-3.3497,-53.9839,-54.838,-53.812,-62.678,156.981,103.921
4,-90.0,55.0,-3.3496,-53.984,-54.8382,96.944,54.668,-12.613,103.921
1,-90.0,60.0,-2.4997,-55.9878,-57.0673,-57.426,20.915,174.852,107.055
2,-90.0,60.0,-2.4997,-55.9883,-57.0678,-57.427,-19.459,168.033,107.055
3,-90.0,60.0,-2.4998,-55.9884,-57.068,-57.428,-60.945,154.949,107.056
4,-90.0,60.0,-2.4996,-55.9885,-57.0682,95.121,52.716,-16.228,107.056
1,-90.0,65.0,-1.7795,-57.7746,-59.096,-60.533,21.893,172.527,109.79
2,-90.0,65.0,-1.7795,-57.7751,-59.0966,-60.534,-18.244,165.823,109.79
3,-90.0,65.0,-1.7795,-57.7753,-59.0967,-60.534,-59.452,152.916,109.791
4,-90.0,65.0,-1.7794,-57.7754,-59.097,93.27,51.002,-19.335,109.791
1,-90.0,70.0,-1.1973,-59.2861,-60.8481,-63.068,22.644,170.414,112.057
2,-90.0,70.0,-1.1973,-59.2866,-60.8487,-63.069,-17.276,163.8,112.057
3,-90.0,70.0,-1.1974,-59.2868,-60.8489,-63.069,-58.229,151.037,112.058
4,-90.0,70.0,-1.1972,-59.2869,-60.8491,91.542,49.574,-21.87,112.058
1,-90.0,75.0,-0.7607,-60.4636,-62.2397,-64.98,23.18,168.677,113.791
2,-90.0,75.0,-0.7608,-60.4641,-62.2403,-64.981,-16.561,162.128,113.792
3,-90.0,75.0,-0.7608,-60.4643,-62.2406,-64.982,-57.302,149.472,113.792
4,-90.0,75.0,-0.7606,-60.4644,-62.2408,90.092,48.476,-23.783,113.792
1,-90.0,80.0,-0.4764,-61.2527,-63.1872,-66.23,23.515,167.468,114.937
2,-90.0,80.0,-0.4764,-61.2532,-63.1878,-66.231,-16.102,160.961,114.938
3,-90.0,80.0,-0.4765,-61.2534,-63.1881,-66.231,-56.694,148.375,114.938
4,-90.0,80.0,-0.4763,-61.2536,-63.1884,89.071,47.747,-25.032,114.939
1,-90.0,85.0,-0.3497,-61.6103,-63.6209,-66.787,23.661,166.908,115.453
2,-90.0,85.0,-0.3497,-61.6108,-63.6216,-66.788,-15.898,160.419,115.453
3,-90.0,85.0,-0.3497,-61.611,-63.6218,-66.789,-56.421,147.865,115.454
4,-90.0,85.0,-0.3496,-61.6112,-63.6222,88.594,47.419,-25.589,115.454
1,-90.0,90.0,-0.3845,-61.5115,-63.5008,-66.634,23.621,167.064,115.311
